1679583062.000000, 1679583062.000000, 1679583062.000000
32.000000, 32.000000, 32.000000
-71,-6,12
-71,-5,12
-64,-5,11
-71,7,11
-57,3,15
-51,-11,10
-53,-14,10
-63,-21,6
-68,-17,11
-63,-5,17
-59,-3,18
-64,-6,19
-62,-17,15
-60,6,23
-61,13,25
-68,8,20
-63,-6,15
-65,-4,19
-78,0,21
-64,-10,17
-55,-5,26
-55,-11,33
-43,-5,42
-51,0,48
-49,8,54
-74,3,50
-38,-19,43
-11,-15,39
36,4,33
53,15,32
70,19,27
73,21,23
67,18,22
55,16,22
44,13,28
41,14,31
37,16,38
37,13,38
41,11,37
45,16,35
50,18,33
49,10,27
50,17,27
34,17,24
15,30,32
8,30,34
-3,5,25
-51,21,47
-65,4,44
-84,-21,40
-107,-16,47
-111,-12,59
-97,-16,49
-87,-13,46
-73,6,46
-66,8,44
-57,18,41
-39,15,32
-32,10,27
-26,-20,12
-20,-33,13
-9,-20,32
-17,1,48
-26,0,48
-58,6,60
-50,3,55
-46,-2,50
-50,-15,43
-46,-20,41
-39,-25,42
-38,-28,46
-38,-28,49
-57,-27,58
-48,-31,55
-40,-28,53
-25,-13,55
-15,-11,53
-15,-1,50
-18,11,56
-19,10,57
-4,11,49
6,21,48
6,44,49
12,51,31
20,51,17
27,48,-15
29,50,-28
21,46,-55
18,44,-67
16,37,-73
6,31,-69
-1,26,-74
-14,21,-72
1,19,-69
1,20,-67
-3,13,-61
-3,7,-56
-2,4,-55
-1,0,-51
1,1,-51
2,7,-52
3,5,-62
3,7,-62
3,8,-63
1,6,-65
1,5,-68
7,14,-65
7,13,-64
5,10,-64
5,12,-61
6,13,-62
6,12,-63
5,11,-62
2,8,-61
1,7,-62
1,9,-61
1,13,-60
2,15,-59
4,14,-57
3,10,-59
3,11,-59
4,13,-63
3,12,-66
4,17,-66
3,18,-66
2,17,-67
1,16,-66
1,18,-65
0,19,-64
7,44,-63
-5,22,-60
17,14,-76
15,13,-72
-3,23,-63
5,24,-58
6,17,-53
29,4,-49
-2,36,-79
-19,26,-94
-2,-7,-46
-6,12,-58
8,16,-61
11,18,-66
11,25,-62
11,12,-66
4,21,-64
11,15,-60
2,10,-50
9,19,-65
7,0,-79
11,10,-34
11,21,-64
21,-7,-71
15,8,-65
18,10,-34
14,13,-72
9,15,-83
10,25,-45
16,13,-62
16,18,-61
21,5,-60
19,7,-69
20,12,-55
26,10,-55
31,11,-58
38,9,-60
39,14,-51
42,17,-50
48,11,-49
45,8,-44
44,9,-50
46,9,-46
43,6,-44
41,10,-46
43,9,-50
42,9,-45
41,10,-48
42,9,-50
41,7,-49
40,6,-47
40,8,-48
43,12,-52
42,12,-49
41,12,-46
42,12,-52
40,9,-48
40,8,-52
42,10,-49
37,10,-47
42,14,-50
42,13,-43
40,18,-43
36,12,-46
36,15,-49
39,12,-48
38,14,-46
39,16,-49
37,15,-48
40,13,-50
35,19,-51
40,22,-61
25,31,-60
17,40,-63
21,33,-72
13,21,-53
6,26,-38
